Value,GROUPVEG,EVT_PHYS,CHANGE
4038,Conifer,Grassland,2
4165,Conifer,Grassland,2
5037,Conifer,Grassland,2
5872,Conifer,Grassland,2
1752,Hardwood-Conifer,Agricultural,4
6138,Conifer,Grassland,2
1754,Hardwood,Developed,5
6436,Conifer,Grassland,2
1756,Hardwood,Conifer-Hardwood,2
1757,Riparian,Conifer-Hardwood,2
1758,Hardwood-Conifer,Agricultural,4
1759,Hardwood,Agricultural,4
6467,Conifer,Grassland,2
1761,Hardwood,Agricultural,4
1762,Hardwood,Conifer-Hardwood,2
1763,Hardwood,Exotic Tree-Shrub,3
1764,Hardwood,Conifer,2
1765,Hardwood,Hardwood,2
1766,Hardwood,Conifer,1
1767,Hardwood,Conifer,2
1768,Hardwood,Conifer,2
1769,Hardwood,Agricultural,4
1770,Hardwood,Conifer,2
1771,Hardwood,Agricultural,4
1772,Hardwood,Exotic Herbaceous,3
1773,Hardwood,Hardwood,2
1774,Hardwood,Exotic Tree-Shrub,3
1775,Hardwood,Conifer,2
1776,Hardwood,Conifer-Hardwood,2
1777,Hardwood,Conifer-Hardwood,2
1778,Hardwood,Riparian,2
1779,Hardwood,Conifer-Hardwood,2
1780,Hardwood,Riparian,2
6500,Conifer,Grassland,2
1782,Hardwood-Conifer,Hardwood,2
1783,Hardwood-Conifer,Agricultural,4
1784,Riparian,Agricultural,4
1785,Hardwood,Developed,5
1786,Hardwood,Conifer-Hardwood,2
1787,Hardwood,Developed,5
1788,Hardwood,Hardwood,2
1789,Hardwood,Developed,5
1790,Hardwood,Conifer-Hardwood,2
1791,Hardwood,Conifer,2
1792,Hardwood-Conifer,Hardwood,2
1793,Riparian,Riparian,2
1794,Hardwood-Conifer,Conifer-Hardwood,1
1795,Hardwood-Conifer,Conifer-Hardwood,2
1796,Hardwood-Conifer,Conifer,2
1797,Hardwood-Conifer,Conifer,2
1798,Hardwood-Conifer,Conifer,2
1799,Hardwood-Conifer,Conifer,2
1800,Hardwood-Conifer,Conifer,2
1801,Hardwood-Conifer,Hardwood,2
1802,Hardwood,Hardwood,2
1803,Hardwood-Conifer,Conifer,1
1804,Hardwood-Conifer,Conifer,2
1805,Hardwood,Hardwood,2
1806,Hardwood-Conifer,Developed-Roads,5
1807,Hardwood-Conifer,Developed,5
1808,Hardwood-Conifer,Developed,5
1809,Hardwood-Conifer,Developed,5
1810,Hardwood-Conifer,Exotic Herbaceous,3
1811,Hardwood-Conifer,Hardwood,2
1812,Hardwood-Conifer,Riparian,2
1813,Hardwood-Conifer,Riparian,2
6570,Conifer,Grassland,2
1815,Hardwood,Riparian,2
1816,Riparian,Conifer,2
1817,Hardwood-Conifer,Exotic Tree-Shrub,3
1818,Hardwood-Conifer,Developed,5
1819,Hardwood-Conifer,Developed,5
1820,Hardwood-Conifer,Riparian,2
1821,Hardwood-Conifer,Riparian,2
1822,Hardwood-Conifer,Riparian,2
1823,Hardwood,Conifer-Hardwood,2
1824,Hardwood-Conifer,Agricultural,4
7079,Conifer,Grassland,2
1826,Hardwood,Conifer,2
1827,Hardwood,Conifer,2
1828,Hardwood,Conifer,2
1829,Hardwood,Developed-Roads,5
1830,Hardwood,Developed,5
1831,Hardwood,Developed,5
1832,Hardwood-Conifer,Developed-Low Intensity,5
1833,Hardwood-Conifer,Hardwood,2
1834,Hardwood,Developed,5
1835,Hardwood,Riparian,2
1836,Hardwood,Riparian,2
40,Conifer,Hardwood,2
57,Conifer,Hardwood,2
1839,Hardwood,Developed,5
74,Conifer,Hardwood,2
1841,Hardwood,Grassland,2
81,Conifer,Hardwood,2
91,Conifer,Hardwood,2
123,Conifer,Hardwood,2
129,Conifer,Hardwood,2
132,Conifer,Hardwood,2
139,Conifer,Hardwood,2
140,Conifer,Hardwood,2
146,Conifer,Hardwood,2
1850,Hardwood,Developed,5
1851,Riparian,Shrubland,2
152,Conifer,Hardwood,2
1853,Hardwood-Conifer,Agricultural,4
176,Conifer,Hardwood,2
1855,Riparian,Conifer-Hardwood,2
1856,Hardwood,Riparian,2
1857,Hardwood,Riparian,2
1858,Riparian,Agricultural,4
1859,Hardwood,Agricultural,4
1860,Riparian,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,4
1861,Riparian,Riparian,2
1862,Riparian,Riparian,1
1863,Hardwood-Conifer,Riparian,1
1864,Riparian,Riparian,2
1865,Hardwood-Conifer,Agricultural,4
1866,Hardwood,Riparian,2
1867,Hardwood-Conifer,Riparian,2
1868,Riparian,Developed,5
1869,Hardwood,Riparian,2
1870,Hardwood,Riparian,2
1871,Hardwood,Agricultural,4
273,Conifer,Hardwood,2
380,Conifer,Hardwood,2
382,Conifer,Hardwood,2
1875,Hardwood,Developed,5
1876,Hardwood-Conifer,Grassland,2
1877,Riparian,Developed-Low Intensity,5
400,Conifer,Hardwood,2
1879,Hardwood,Riparian,2
549,Conifer,Hardwood,2
1881,Riparian,Riparian,2
1882,Riparian,Riparian,1
567,Conifer,Hardwood,1
1884,Hardwood,Developed,5
1885,Riparian,Riparian,2
1886,Hardwood-Conifer,Agricultural,4
1887,Hardwood-Conifer,Developed-Medium Intensity,5
1888,Hardwood-Conifer,Developed,5
1889,Riparian,Conifer,2
1890,Hardwood-Conifer,Developed,5
1891,Riparian,Riparian,2
1892,Hardwood,Hardwood,1
1893,Hardwood,Conifer,1
606,Conifer,Hardwood,2
625,Conifer,Hardwood,2
627,Conifer,Hardwood,2
639,Conifer,Hardwood,2
650,Conifer,Hardwood,2
1899,Riparian,Agricultural,4
1900,Hardwood,Agricultural,4
1901,Riparian,Agricultural,4
1902,Hardwood,Agricultural,4
1903,Riparian,Hardwood,2
1904,Hardwood,Agricultural,4
671,Conifer,Hardwood,2
1906,Hardwood,Agricultural,4
1907,Riparian,Agricultural,4
1908,Riparian,Agricultural,4
1909,Hardwood,Conifer-Hardwood,2
1910,Hardwood,Riparian,2
1911,Hardwood,Agricultural,4
1912,Riparian,Developed,5
1913,Hardwood,Developed,5
1914,Hardwood,Riparian,2
1915,Hardwood,Developed,5
1916,Hardwood,Developed-High Intensity,5
1917,Riparian,Riparian,2
1918,Hardwood,Agricultural,4
1919,Hardwood,Agricultural,4
1920,Hardwood,Agricultural,4
1921,Hardwood,Developed-Medium Intensity,5
1922,Riparian,Riparian,2
1923,Riparian,Developed-Roads,5
1924,Hardwood,Conifer-Hardwood,2
1925,Hardwood,Developed,5
1926,Hardwood-Conifer,Agricultural,4
1927,Hardwood-Conifer,Agricultural,4
1928,Hardwood-Conifer,Agricultural,4
1929,Hardwood-Conifer,Agricultural,4
1930,Hardwood,Conifer,2
1931,Hardwood,Developed,5
1932,Hardwood,Riparian,2
1933,Hardwood,Riparian,2
1934,Hardwood,Riparian,2
1935,Hardwood,Riparian,2
1936,Riparian,Conifer-Hardwood,2
1937,Riparian,Riparian,2
1938,Riparian,Riparian,1
1939,Riparian,Riparian,1
1940,Riparian,Riparian,1
1941,Riparian,Riparian,1
1942,Riparian,Riparian,1
1943,Riparian,Riparian,1
1944,Riparian,Riparian,1
1945,Riparian,Riparian,1
1946,Riparian,Riparian,1
1947,Riparian,Riparian,1
1948,Riparian,Riparian,1
1949,Riparian,Riparian,1
1950,Riparian,Riparian,1
1951,Riparian,Exotic Herbaceous,3
1952,Riparian,Conifer,2
1953,Riparian,Conifer,2
1954,Hardwood,Riparian,2
1955,Riparian,Riparian,2
1956,Riparian,Riparian,1
1957,Riparian,Riparian,1
1958,Riparian,Riparian,1
1959,Riparian,Riparian,1
1960,Riparian,Riparian,1
1961,Riparian,Hardwood,1
1962,Riparian,Agricultural,4
1963,Riparian,Riparian,2
1964,Riparian,Riparian,1
1965,Riparian,Exotic Herbaceous,3
1966,Riparian,Riparian,2
673,Conifer,Hardwood,1
679,Conifer,Hardwood,2
680,Conifer,Hardwood,2
1970,Riparian,Riparian,2
1971,Riparian,Hardwood,1
1972,Riparian,Hardwood,2
1973,Hardwood,Riparian,2
715,Conifer,Hardwood,2
1975,Hardwood,Hardwood,2
1976,Hardwood,Riparian,1
734,Conifer,Hardwood,2
1978,Riparian,Riparian,2
1979,Hardwood,Hardwood,1
1980,Hardwood,Riparian,1
760,Conifer,Hardwood,2
1982,Hardwood,Conifer,2
769,Conifer,Hardwood,2
1984,Riparian,Conifer,2
770,Conifer,Hardwood,2
771,Conifer,Hardwood,2
1987,Riparian,Hardwood,2
1988,Riparian,Conifer-Hardwood,2
842,Conifer,Hardwood,2
896,Conifer,Hardwood,2
971,Conifer,Hardwood,2
978,Conifer,Hardwood,2
1025,Conifer,Hardwood,2
1994,Hardwood,Riparian,2
1995,Hardwood-Conifer,Riparian,2
1996,Hardwood-Conifer,Conifer,2
1997,Riparian,Developed-Low Intensity,5
1998,Hardwood-Conifer,Hardwood,2
1064,Conifer,Hardwood,2
2000,Riparian,Hardwood,2
2001,Hardwood-Conifer,Riparian,2
1123,Conifer,Hardwood,2
1166,Conifer,Hardwood,2
2004,Hardwood-Conifer,Hardwood,2
2005,Hardwood,Riparian,2
2006,Hardwood,Conifer-Hardwood,2
2007,Hardwood,Exotic Herbaceous,3
2008,Hardwood,Hardwood,2
2009,Hardwood-Conifer,Developed-Roads,5
2010,Hardwood-Conifer,Developed,5
2011,Riparian,Riparian,2
2012,Hardwood-Conifer,Riparian,1
2013,Hardwood-Conifer,Hardwood,2
2014,Hardwood-Conifer,Conifer,2
2015,Hardwood-Conifer,Hardwood,2
2016,Hardwood-Conifer,Conifer-Hardwood,2
2017,Hardwood,Conifer,2
2018,Riparian,Exotic Tree-Shrub,3
2019,Riparian,Conifer,2
2020,Hardwood-Conifer,Conifer-Hardwood,2
2021,Hardwood-Conifer,Conifer,2
2022,Hardwood-Conifer,Hardwood,2
2023,Hardwood,Riparian,2
2024,Hardwood,Riparian,2
2025,Hardwood-Conifer,Exotic Tree-Shrub,3
2026,Hardwood,Conifer,2
2027,Riparian,Developed-Roads,5
2028,Hardwood-Conifer,Conifer,2
2029,Hardwood,Hardwood,2
2030,Hardwood-Conifer,Developed,5
2031,Hardwood-Conifer,Conifer,2
2032,Hardwood,Conifer-Hardwood,2
2033,Riparian,Hardwood,2
2034,Riparian,Exotic Tree-Shrub,3
2035,Hardwood-Conifer,Riparian,2
2036,Hardwood-Conifer,Conifer-Hardwood,2
2037,Hardwood-Conifer,Conifer-Hardwood,2
2038,Riparian,Conifer,2
2039,Riparian,Conifer-Hardwood,2
2040,Riparian,Conifer,2
2041,Hardwood-Conifer,Conifer,2
2042,Riparian,Conifer,2
2043,Hardwood-Conifer,Riparian,2
2044,Riparian,Conifer-Hardwood,2
2045,Hardwood-Conifer,Exotic Herbaceous,3
2046,Hardwood-Conifer,Developed-Roads,5
2047,Riparian,Hardwood,2
2048,Hardwood-Conifer,Exotic Herbaceous,3
2049,Hardwood-Conifer,Riparian,2
2050,Riparian,Hardwood,2
2051,Hardwood-Conifer,Hardwood,2
2052,Hardwood-Conifer,Conifer,2
2053,Riparian,Conifer,2
2054,Riparian,Conifer-Hardwood,2
2055,Hardwood-Conifer,Conifer,2
2056,Riparian,Conifer,2
2057,Hardwood-Conifer,Developed,5
2058,Hardwood-Conifer,Hardwood,2
2059,Hardwood-Conifer,Developed,5
2060,Hardwood-Conifer,Hardwood,2
2061,Hardwood,Exotic Herbaceous,3
2062,Hardwood-Conifer,Developed-Low Intensity,5
2063,Hardwood,Conifer,2
2064,Hardwood,Conifer,2
2065,Hardwood,Conifer,2
2066,Hardwood,Conifer-Hardwood,2
2067,Hardwood-Conifer,Developed-High Intensity,5
2068,Hardwood,Hardwood,2
2069,Hardwood,Hardwood,1
2070,Hardwood-Conifer,Developed-Medium Intensity,5
2071,Hardwood,Conifer,2
2072,Hardwood,Conifer-Hardwood,2
2073,Hardwood-Conifer,Developed,5
2074,Riparian,Conifer-Hardwood,2
2075,Hardwood-Conifer,Conifer,2
2076,Hardwood,Hardwood,2
2077,Hardwood-Conifer,Developed,5
1201,Conifer,Hardwood,2
2079,Hardwood,Riparian,2
2080,Hardwood,Conifer-Hardwood,2
1514,Conifer,Hardwood,2
1542,Conifer,Hardwood,2
2083,Riparian,Developed-High Intensity,5
1543,Conifer,Hardwood,2
2085,Hardwood,Exotic Tree-Shrub,3
2086,Hardwood,Riparian,2
2087,Hardwood,Conifer,2
2088,Hardwood,Riparian,2
2089,Riparian,Developed-Roads,5
2090,Hardwood,Riparian,2
2091,Riparian,Riparian,2
2092,Riparian,Hardwood,1
2093,Hardwood-Conifer,Agricultural,4
2094,Hardwood-Conifer,Conifer-Hardwood,2
2095,Hardwood-Conifer,Riparian,2
2096,Hardwood-Conifer,Hardwood,2
2097,Hardwood-Conifer,Conifer,2
2098,Hardwood-Conifer,Developed,5
2099,Hardwood-Conifer,Developed,5
2100,Hardwood-Conifer,Riparian,2
2101,Riparian,Conifer-Hardwood,2
2102,Hardwood-Conifer,Agricultural,4
2103,Hardwood-Conifer,Hardwood,2
2104,Hardwood,Conifer,2
2105,Riparian,Conifer,2
2106,Riparian,Conifer,2
2107,Hardwood-Conifer,Agricultural,4
2108,Hardwood-Conifer,Conifer,2
2109,Hardwood,Hardwood,2
2110,Hardwood-Conifer,Riparian,1
2111,Hardwood-Conifer,Riparian,2
2112,Hardwood,Exotic Tree-Shrub,3
2113,Hardwood,Agricultural,4
2114,Hardwood,Agricultural,4
2115,Hardwood,Conifer,2
2116,Hardwood,Conifer-Hardwood,2
2117,Hardwood,Developed,5
2118,Hardwood,Conifer,2
2119,Hardwood,Conifer-Hardwood,2
2120,Hardwood,Conifer,2
2121,Hardwood,Developed-Roads,5
2122,Hardwood,Agricultural,4
2123,Hardwood-Conifer,Developed,5
2124,Hardwood,Developed-Low Intensity,5
2125,Hardwood-Conifer,Agricultural,4
2126,Hardwood,Agricultural,4
2127,Hardwood,Developed,5
2128,Hardwood,Developed,5
2129,Hardwood,Developed,5
2130,Hardwood,Developed-Roads,5
2131,Riparian,Developed,5
2132,Hardwood,Developed,5
2133,Riparian,Developed-Medium Intensity,5
2134,Hardwood,Conifer-Hardwood,2
2135,Hardwood,Riparian,2
2136,Hardwood,Developed,5
2137,Hardwood,Developed,5
2138,Hardwood,Developed-Medium Intensity,5
2139,Hardwood,Developed-High Intensity,5
2140,Hardwood,Developed,5
2141,Hardwood,Riparian,2
2142,Hardwood,Conifer,2
2143,Hardwood,Conifer,2
2144,Hardwood,Agricultural,4
2145,Hardwood,Developed-Low Intensity,5
2146,Hardwood,Agricultural,4
2147,Hardwood,Developed,5
2148,Riparian,Agricultural,4
2149,Hardwood,Agricultural,4
2150,Riparian,Hardwood,2
2151,Hardwood,Conifer,2
2152,Hardwood,Developed-Roads,5
2153,Hardwood,Developed,5
2154,Riparian,Developed,5
2155,Hardwood,Exotic Herbaceous,3
2156,Hardwood,Developed,5
2157,Hardwood,Developed-Medium Intensity,5
2158,Riparian,Developed-Low Intensity,5
2159,Riparian,Developed,5
2160,Riparian,Developed,5
2161,Riparian,Conifer-Hardwood,2
2162,Riparian,Conifer,2
2163,Riparian,Riparian,2
2164,Hardwood-Conifer,Riparian,1
2165,Hardwood-Conifer,Developed-Low Intensity,5
2166,Hardwood-Conifer,Developed,5
2167,Riparian,Conifer,2
2168,Riparian,Agricultural,4
2169,Hardwood-Conifer,Developed,5
2170,Hardwood,Developed,5
2171,Hardwood-Conifer,Developed-Medium Intensity,5
2172,Hardwood,Developed-High Intensity,5
2173,Hardwood,Developed,5
2174,Riparian,Developed,5
2175,Hardwood-Conifer,Developed-High Intensity,5
2176,Riparian,Agricultural,4
2177,Hardwood,Developed-Medium Intensity,5
2178,Hardwood,Developed,5
2179,Hardwood-Conifer,Riparian,2
2180,Hardwood,Developed,5
2181,Hardwood-Conifer,Exotic Tree-Shrub,3
2182,Hardwood,Riparian,2
2183,Riparian,Developed,5
2184,Riparian,Developed,5
2185,Hardwood-Conifer,Agricultural,4
2186,Hardwood,Developed,5
2187,Riparian,Conifer-Hardwood,2
2188,Hardwood,Riparian,2
2189,Hardwood,Developed,5
2190,Hardwood,Conifer-Hardwood,2
2191,Hardwood,Exotic Tree-Shrub,3
2192,Riparian,Developed,5
2193,Hardwood,Riparian,2
2194,Hardwood-Conifer,Conifer-Hardwood,2
2195,Hardwood,Agricultural,4
2196,Riparian,Agricultural,4
2197,Riparian,Developed,5
2198,Riparian,Developed-Roads,5
2199,Riparian,Riparian,2
2200,Hardwood,Riparian,1
2201,Riparian,Conifer-Hardwood,2
2202,Riparian,Developed,5
2203,Hardwood,Developed,5
2204,Riparian,Developed,5
2205,Hardwood,Developed,5
2206,Hardwood,Conifer,2
2207,Hardwood,Agricultural,4
2208,Riparian,Developed,5
2209,Riparian,Agricultural,4
2210,Hardwood,Riparian,2
2211,Hardwood,Agricultural,4
2212,Hardwood,Hardwood,2
2213,Hardwood,Hardwood,1
2214,Hardwood,Riparian,1
2215,Riparian,Developed,5
2216,Riparian,Developed,5
2217,Riparian,Developed-Medium Intensity,5
2218,Riparian,Agricultural,4
2219,Riparian,Agricultural,4
2220,Riparian,Developed,5
2221,Hardwood,Developed,5
2222,Hardwood-Conifer,Developed,5
2223,Riparian,Riparian,2
2224,Riparian,Developed,5
2225,Riparian,Developed,5
2226,Hardwood,Agricultural,4
2227,Hardwood,Riparian,2
2228,Riparian,Developed-High Intensity,5
2229,Riparian,Agricultural,4
1564,Conifer,Hardwood,2
2231,Riparian,Developed,5
2232,Riparian,Riparian,2
2233,Hardwood-Conifer,Developed,5
2234,Hardwood-Conifer,Developed,5
2235,Hardwood-Conifer,Riparian,2
2236,Hardwood,Agricultural,4
2237,Riparian,Grassland,2
2238,Riparian,Grassland,2
1572,Conifer,Hardwood,2
2240,Riparian,Agricultural,4
2241,Riparian,Riparian,2
2242,Riparian,Riparian,1
2243,Riparian,Hardwood,1
2244,Hardwood,Conifer,2
2245,Hardwood,Hardwood,2
2246,Hardwood,Riparian,1
2247,Hardwood,Riparian,2
2248,Hardwood,Riparian,2
2249,Hardwood,Riparian,2
2250,Hardwood,Exotic Tree-Shrub,3
2251,Hardwood,Riparian,2
2252,Riparian,Riparian,2
2253,Hardwood,Riparian,1
2254,Hardwood,Exotic Herbaceous,3
2255,Riparian,Hardwood,2
2256,Riparian,Riparian,2
2257,Riparian,Riparian,1
2258,Hardwood,Riparian,1
2259,Riparian,Riparian,2
2260,Riparian,Agricultural,4
2261,Hardwood,Agricultural,4
2262,Riparian,Riparian,2
2263,Riparian,Riparian,1
2264,Riparian,Riparian,1
2265,Riparian,Riparian,1
2266,Riparian,Hardwood,1
2267,Riparian,Riparian,2
2268,Riparian,Riparian,1
2269,Hardwood,Agricultural,4
2270,Riparian,Riparian,2
2271,Riparian,Riparian,1
2272,Riparian,Riparian,1
2273,Hardwood,Riparian,1
2274,Hardwood,Hardwood,2
2275,Riparian,Developed-Roads,5
2276,Riparian,Riparian,2
2277,Riparian,Agricultural,4
2278,Riparian,Riparian,2
2279,Riparian,Hardwood,1
2280,Hardwood,Hardwood,2
2281,Hardwood,Conifer,1
2282,Hardwood,Exotic Herbaceous,3
2283,Hardwood,Developed-Roads,5
2284,Hardwood,Riparian,2
2285,Hardwood,Agricultural,4
2286,Riparian,Riparian,2
2287,Hardwood,Conifer,1
2288,Riparian,Agricultural,4
2289,Riparian,Riparian,2
2290,Riparian,Exotic Herbaceous,3
2291,Hardwood,Developed,5
2292,Hardwood-Conifer,Riparian,2
2293,Riparian,Riparian,2
2294,Hardwood,Developed-Low Intensity,5
2295,Hardwood,Developed,5
2296,Hardwood-Conifer,Agricultural,4
2297,Hardwood-Conifer,Agricultural,4
2298,Hardwood,Developed,5
2299,Riparian,Developed-Low Intensity,5
2300,Riparian,Riparian,2
2301,Riparian,Riparian,1
2302,Hardwood,Riparian,1
2303,Riparian,Developed-Roads,5
2304,Hardwood,Developed,5
2305,Riparian,Developed,5
2306,Hardwood,Developed,5
2307,Hardwood,Exotic Tree-Shrub,3
2308,Riparian,Developed-Roads,5
2309,Riparian,Developed,5
2310,Hardwood,Developed,5
2311,Hardwood,Developed,5
2312,Riparian,Exotic Tree-Shrub,3
2313,Hardwood,Riparian,2
2314,Riparian,Riparian,2
2315,Riparian,Riparian,1
2316,Riparian,Riparian,1
2317,Riparian,Hardwood,1
2318,Riparian,Developed-Low Intensity,5
2319,Hardwood,Riparian,2
2320,Hardwood,Riparian,2
2321,Riparian,Riparian,2
2322,Riparian,Riparian,1
2323,Riparian,Riparian,1
2324,Riparian,Developed,5
2325,Hardwood,Riparian,2
2326,Hardwood,Developed-Roads,5
2327,Riparian,Conifer-Hardwood,2
2328,Riparian,Hardwood,2
2329,Hardwood,Developed,5
2330,Riparian,Developed,5
2331,Riparian,Developed,5
2332,Riparian,Conifer-Hardwood,2
2333,Riparian,Conifer,2
2334,Riparian,Riparian,2
2335,Hardwood-Conifer,Riparian,1
2336,Riparian,Developed,5
2337,Riparian,Developed,5
2338,Riparian,Riparian,2
2339,Hardwood,Developed-Medium Intensity,5
2340,Riparian,Developed,5
2341,Riparian,Riparian,2
2342,Riparian,Riparian,1
2343,Hardwood,Riparian,1
2344,Riparian,Developed-Medium Intensity,5
2345,Riparian,Developed,5
2346,Hardwood,Developed,5
2347,Riparian,Developed-High Intensity,5
2348,Hardwood,Riparian,2
2349,Riparian,Developed,5
2350,Hardwood,Hardwood,2
2351,Riparian,Exotic Herbaceous,3
2352,Riparian,Exotic Tree-Shrub,3
2353,Hardwood,Riparian,2
2354,Riparian,Conifer,2
2355,Hardwood,Conifer,2
2356,Hardwood,Conifer,2
2357,Riparian,Riparian,2
2358,Hardwood,Developed,5
2359,Hardwood,Developed,5
2360,Hardwood-Conifer,Hardwood,2
2361,Hardwood,Developed,5
2362,Hardwood,Developed-Low Intensity,5
2363,Hardwood-Conifer,Riparian,2
2364,Riparian,Hardwood,2
2365,Hardwood,Developed-High Intensity,5
2366,Riparian,Developed,5
2367,Hardwood,Conifer-Hardwood,2
2368,Hardwood-Conifer,Exotic Herbaceous,3
2369,Hardwood-Conifer,Agricultural,4
2370,Riparian,Developed,5
2371,Riparian,Developed-High Intensity,5
2372,Riparian,Developed-Medium Intensity,5
2373,Hardwood,Agricultural,4
2374,Hardwood,Developed-High Intensity,5
2375,Hardwood,Developed,5
2376,Riparian,Developed,5
2377,Riparian,Developed-Medium Intensity,5
2378,Riparian,Agricultural,4
2379,Riparian,Riparian,2
2380,Riparian,Developed,5
2381,Hardwood,Developed-Medium Intensity,5
2382,Riparian,Riparian,2
2383,Hardwood-Conifer,Developed,5
2384,Hardwood-Conifer,Developed,5
2385,Hardwood-Conifer,Hardwood,2
2386,Hardwood-Conifer,Developed-Roads,5
2387,Riparian,Riparian,2
2388,Hardwood-Conifer,Riparian,1
2389,Hardwood-Conifer,Riparian,2
2390,Riparian,Riparian,2
2391,Hardwood-Conifer,Developed,5
2392,Hardwood-Conifer,Developed-Medium Intensity,5
2393,Riparian,Riparian,2
2394,Riparian,Riparian,1
2395,Hardwood-Conifer,Riparian,1
2396,Riparian,Riparian,2
2397,Hardwood-Conifer,Developed,5
2398,Hardwood-Conifer,Developed-High Intensity,5
2399,Hardwood-Conifer,Conifer,2
2400,Hardwood-Conifer,Riparian,2
2401,Hardwood-Conifer,Riparian,2
2402,Riparian,Riparian,2
2403,Riparian,Riparian,1
2404,Hardwood-Conifer,Exotic Tree-Shrub,3
2405,Hardwood,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,4
2406,Riparian,Conifer,2
2407,Riparian,Riparian,2
2408,Riparian,Riparian,1
2409,Riparian,Exotic Herbaceous,3
2410,Hardwood-Conifer,Hardwood,2
2411,Hardwood-Conifer,Conifer,2
2412,Hardwood-Conifer,Developed,5
2413,Hardwood-Conifer,Developed-Low Intensity,5
2414,Hardwood-Conifer,Riparian,2
2415,Riparian,Conifer-Hardwood,2
2416,Riparian,Riparian,2
2417,Riparian,Hardwood,1
2418,Hardwood-Conifer,Hardwood,2
2419,Riparian,Conifer,2
2420,Riparian,Hardwood,2
2421,Hardwood-Conifer,Conifer,2
2422,Riparian,Agricultural,4
2423,Riparian,Developed-Low Intensity,5
2424,Hardwood,Developed,5
2425,Hardwood-Conifer,Riparian,2
2426,Hardwood-Conifer,Developed-Roads,5
2427,Hardwood,Conifer,2
2428,Hardwood,Hardwood,2
2429,Hardwood-Conifer,Conifer,1
2430,Hardwood-Conifer,Conifer,2
2431,Hardwood-Conifer,Developed-Low Intensity,5
2432,Hardwood,Hardwood,2
2433,Hardwood-Conifer,Exotic Herbaceous,3
2434,Hardwood-Conifer,Developed,5
2435,Hardwood,Conifer-Hardwood,2
2436,Riparian,Conifer,2
2437,Hardwood-Conifer,Hardwood,2
2438,Hardwood-Conifer,Developed-High Intensity,5
2439,Hardwood-Conifer,Developed-Medium Intensity,5
2440,Hardwood,Conifer-Hardwood,2
2441,Hardwood-Conifer,Developed,5
2442,Hardwood-Conifer,Conifer,2
2443,Hardwood-Conifer,Hardwood,2
2444,Riparian,Conifer-Hardwood,2
2445,Hardwood-Conifer,Conifer-Hardwood,2
2446,Riparian,Conifer,2
2447,Hardwood-Conifer,Developed,5
2448,Hardwood-Conifer,Developed,5
2449,Hardwood,Riparian,2
2450,Riparian,Conifer,2
2451,Riparian,Conifer-Hardwood,2
2452,Riparian,Hardwood,2
2453,Hardwood,Agricultural,4
2454,Hardwood,Agricultural,4
2455,Hardwood-Conifer,Developed,5
2456,Hardwood-Conifer,Developed,5
2457,Hardwood-Conifer,Developed,5
2458,Riparian,Conifer,2
2459,Hardwood-Conifer,Developed,5
2460,Hardwood,Developed,5
2461,Hardwood,Conifer-Hardwood,2
2462,Hardwood,Agricultural,4
2463,Hardwood-Conifer,Agricultural,4
2464,Hardwood-Conifer,Agricultural,4
2465,Hardwood-Conifer,Riparian,2
2466,Hardwood,Riparian,2
2467,Hardwood-Conifer,Riparian,2
2468,Hardwood-Conifer,Developed-Low Intensity,5
2469,Hardwood-Conifer,Developed-High Intensity,5
2470,Hardwood,Agricultural,4
2471,Hardwood,Riparian,2
2472,Riparian,Agricultural,4
2473,Riparian,Developed,5
2474,Hardwood,Hardwood,2
2475,Riparian,Hardwood,1
2476,Hardwood,Hardwood,2
2477,Riparian,Developed-Medium Intensity,5
2478,Hardwood-Conifer,Riparian,2
2479,Hardwood,Conifer,2
2480,Riparian,Agricultural,4
2481,Hardwood-Conifer,Developed,5
2482,Hardwood,Conifer,2
2483,Riparian,Developed,5
2484,Riparian,Exotic Herbaceous,3
2485,Riparian,Developed-Low Intensity,5
2486,Riparian,Developed-High Intensity,5
2487,Hardwood-Conifer,Conifer-Hardwood,2
2488,Hardwood,Agricultural,4
2489,Riparian,Conifer,2
2490,Hardwood-Conifer,Hardwood,2
2491,Riparian,Agricultural,4
2492,Riparian,Agricultural,4
2493,Hardwood,Developed,5
2494,Riparian,Exotic Herbaceous,3
2495,Riparian,Hardwood,2
2496,Hardwood-Conifer,Conifer-Hardwood,2
2497,Hardwood,Agricultural,4
2498,Riparian,Developed,5
2499,Hardwood,Agricultural,4
2500,Hardwood-Conifer,Developed-Roads,5
2501,Riparian,Riparian,2
2502,Riparian,Developed,5
2503,Riparian,Riparian,2
2504,Hardwood,Developed,5
2505,Riparian,Agricultural,4
2506,Riparian,Riparian,2
2507,Riparian,Riparian,1
2508,Hardwood-Conifer,Conifer,1
2509,Riparian,Exotic Tree-Shrub,3
2510,Riparian,Conifer,2
2511,Hardwood-Conifer,Hardwood,2
2512,Hardwood-Conifer,Riparian,2
2513,Hardwood,Riparian,2
1625,Conifer,Hardwood,2
2515,Hardwood,Developed-Low Intensity,5
2516,Hardwood,Developed,5
2517,Hardwood,Conifer-Hardwood,2
2518,Hardwood,Conifer,2
2519,Hardwood,Conifer,2
2520,Hardwood,Conifer,2
2521,Hardwood,Agricultural,4
